"","node","inspow"
"1",3,136
"2",8,1
"3",9,148
"4",11,1
"5",21,1
"6",70,149
"7",74,7
"8",84,1
"9",88,2
"10",157,1
"11",176,172
"12",186,128
"13",188,1
"14",208,130
"15",254,130
"16",266,156
"17",274,165
"18",279,168
"19",303,5
"20",308,109
"21",318,131
"22",319,177
"23",327,5
"24",328,1
"25",335,168
"26",349,167
"27",357,159
"28",375,173
"29",379,2
"30",383,49
"31",386,151
"32",410,181
"33",413,3
"34",419,147
"35",431,169
"36",437,1
"37",439,24
"38",445,1
"39",463,92
"40",464,7
"41",473,2
"42",476,1
"43",479,152
"44",495,154
"45",500,2
"46",507,135
"47",508,1
"48",513,50
"49",531,145
"50",547,79
"51",553,53
"52",565,181
"53",566,14
"54",570,165
"55",580,1
"56",612,182
"57",621,3
"58",627,89
"59",637,2
"60",638,92
