"","node","inspow"
"1",3,586
"2",8,594
"3",9,598
"4",11,605
"5",21,601
"6",70,583
"7",74,614
"8",84,594
"9",88,609
"10",157,597
"11",176,598
"12",186,593
"13",188,598
"14",208,598
"15",254,596
"16",266,598
"17",274,593
"18",279,601
"19",303,599
"20",308,610
"21",318,598
"22",319,588
"23",327,607
"24",328,601
"25",335,597
"26",349,598
"27",357,595
"28",375,604
"29",379,607
"30",383,600
"31",386,595
"32",410,602
"33",413,590
"34",419,601
"35",431,593
"36",437,609
"37",439,612
"38",445,591
"39",463,611
"40",464,601
"41",473,598
"42",476,603
"43",479,593
"44",495,597
"45",500,597
"46",507,605
"47",508,598
"48",513,594
"49",531,588
"50",547,588
"51",553,606
"52",565,602
"53",566,599
"54",570,595
"55",580,601
"56",612,597
"57",621,600
"58",627,590
"59",637,597
"60",638,604
