"","node","inspow"
"1",3,451
"2",8,450
"3",9,437
"4",11,473
"5",21,448
"6",70,470
"7",74,460
"8",84,447
"9",88,460
"10",157,449
"11",176,461
"12",186,445
"13",188,439
"14",208,465
"15",254,469
"16",266,463
"17",274,460
"18",279,453
"19",303,441
"20",308,461
"21",318,462
"22",319,470
"23",327,451
"24",328,459
"25",335,475
"26",349,457
"27",357,466
"28",375,460
"29",379,446
"30",383,476
"31",386,452
"32",410,468
"33",413,445
"34",419,457
"35",431,469
"36",437,467
"37",439,456
"38",445,459
"39",463,448
"40",464,447
"41",473,458
"42",476,436
"43",479,465
"44",495,448
"45",500,476
"46",507,451
"47",508,480
"48",513,458
"49",531,447
"50",547,456
"51",553,457
"52",565,467
"53",566,449
"54",570,3
"55",580,453
"56",612,444
"57",621,444
"58",627,459
"59",637,451
"60",638,463
