"","node","inspow"
"1",1069,4022
"2",1196,4005
"3",1438,4029
"4",1685,4019
"5",1833,4020
"6",2665,4018
"7",2667,4013
"8",2670,4020
"9",2677,4022
"10",2680,4021
"11",2690,4014
"12",2695,4020
"13",2699,4013
"14",2718,4015
"15",2751,4021
"16",2755,4016
"17",2756,4018
"18",2758,4018
"19",2778,4015
"20",2783,4020
"21",2787,4012
"22",2801,4017
"23",2816,4021
"24",2828,4015
"25",2840,4012
"26",2865,4019
"27",2867,4017
"28",2868,4020
"29",2873,4015
"30",2878,4014
"31",2881,4022
"32",2891,4019
"33",2898,4019
"34",2906,4011
"35",2907,4021
"36",2910,4025
"37",2911,4019
"38",2912,4020
"39",2913,4013
"40",2914,4019
"41",2916,4011
"42",2917,4014
"43",2920,4007
"44",2921,4013
"45",2926,4018
"46",2928,4016
"47",2929,4021
"48",2941,4026
"49",2944,4016
"50",2945,4016
"51",2957,4019
"52",2961,4028
"53",2967,4010
"54",2970,4016
"55",2986,4018
"56",2987,4015
"57",3001,4018
"58",3023,4025
"59",3027,4021
"60",3034,4017
"61",3041,4023
"62",3048,4022
"63",3055,4021
"64",3057,4019
"65",3065,4012
"66",3066,4023
"67",3079,4011
"68",3091,4020
"69",3097,4014
"70",3099,4018
"71",3109,4027
"72",3143,4020
"73",3150,4022
"74",3175,4022
"75",3196,4020
"76",3227,4019
"77",3233,4015
"78",3285,4023
"79",3325,4025
"80",3340,4006
"81",3349,4015
"82",3364,4017
"83",3388,4021
"84",3418,4017
"85",3427,4020
