"","node","inspow"
"1",1069,3677
"2",1196,3717
"3",1438,3705
"4",1685,3735
"5",1833,3685
"6",2665,3565
"7",2667,3697
"8",2670,3680
"9",2677,3674
"10",2680,3685
"11",2690,3678
"12",2695,3703
"13",2699,3514
"14",2718,3690
"15",2751,3718
"16",2755,3677
"17",2756,3719
"18",2758,3694
"19",2778,3719
"20",2783,3753
"21",2787,3694
"22",2801,3680
"23",2816,3711
"24",2828,3721
"25",2840,3710
"26",2865,3687
"27",2867,3682
"28",2868,3664
"29",2873,3691
"30",2878,3684
"31",2881,3686
"32",2891,3722
"33",2898,3714
"34",2906,3648
"35",2907,3741
"36",2910,3637
"37",2911,3555
"38",2912,3732
"39",2913,3682
"40",2914,3685
"41",2916,3723
"42",2917,3700
"43",2920,3657
"44",2921,3683
"45",2926,3668
"46",2928,3687
"47",2929,3701
"48",2941,3681
"49",2944,3701
"50",2945,3707
"51",2957,3505
"52",2961,3669
"53",2967,3676
"54",2970,3747
"55",2986,3502
"56",2987,3524
"57",3001,3749
"58",3023,3685
"59",3027,3529
"60",3034,3526
"61",3041,3527
"62",3048,3545
"63",3055,3493
"64",3057,3725
"65",3065,3514
"66",3066,3747
"67",3079,3690
"68",3091,3513
"69",3097,3548
"70",3099,3652
"71",3109,3690
"72",3143,3702
"73",3150,3714
"74",3175,3681
"75",3196,3516
"76",3227,3542
"77",3233,3537
"78",3285,3703
"79",3325,3698
"80",3340,3703
"81",3349,3486
"82",3364,3683
"83",3388,3681
"84",3418,3672
"85",3427,3489
