"","node","inspow"
"1",1069,3849
"2",1196,3887
"3",1438,3832
"4",1685,3903
"5",1833,3893
"6",2665,3895
"7",2667,3906
"8",2670,3896
"9",2677,3867
"10",2680,3901
"11",2690,3900
"12",2695,3859
"13",2699,3888
"14",2718,3882
"15",2751,3850
"16",2755,3846
"17",2756,3907
"18",2758,3893
"19",2778,3885
"20",2783,3708
"21",2787,3881
"22",2801,3880
"23",2816,3846
"24",2828,3904
"25",2840,3893
"26",2865,3895
"27",2867,3905
"28",2868,3899
"29",2873,3847
"30",2878,3861
"31",2881,3895
"32",2891,3890
"33",2898,3899
"34",2906,3904
"35",2907,3834
"36",2910,3871
"37",2911,3888
"38",2912,3838
"39",2913,3903
"40",2914,3880
"41",2916,3910
"42",2917,3853
"43",2920,3881
"44",2921,3890
"45",2926,3860
"46",2928,3891
"47",2929,3852
"48",2941,3835
"49",2944,3897
"50",2945,3706
"51",2957,3848
"52",2961,3876
"53",2967,3911
"54",2970,3883
"55",2986,3893
"56",2987,3897
"57",3001,3847
"58",3023,3881
"59",3027,3846
"60",3034,3867
"61",3041,3907
"62",3048,3878
"63",3055,3884
"64",3057,3891
"65",3065,3905
"66",3066,3898
"67",3079,3835
"68",3091,3915
"69",3097,3831
"70",3099,3851
"71",3109,3891
"72",3143,3881
"73",3150,3854
"74",3175,3852
"75",3196,3842
"76",3227,3905
"77",3233,3891
"78",3285,3889
"79",3325,3911
"80",3340,3876
"81",3349,3844
"82",3364,3871
"83",3388,3872
"84",3418,3889
"85",3427,3900
