"","node","inspow"
"1",897,3947
"2",903,3889
"3",958,3943
"4",976,3946
"5",982,3880
"6",1010,3959
"7",1020,3939
"8",1022,3951
"9",1037,3951
"10",1061,3952
"11",1068,3930
"12",1083,3951
"13",1101,3951
"14",1105,3891
"15",1121,3942
"16",1130,3906
"17",1149,3891
"18",1159,3957
"19",1193,3949
"20",1205,3897
"21",1228,3944
"22",1232,3938
"23",1236,3944
"24",1258,3928
"25",1278,3913
"26",1280,3940
"27",1285,3962
"28",1293,3958
"29",1299,3938
"30",1323,3925
"31",1346,3911
"32",1348,3954
"33",1380,3945
"34",1405,3938
"35",1414,3947
"36",1424,3947
"37",1427,3959
"38",1433,3953
"39",1449,3943
"40",1460,3955
"41",1463,3949
"42",1476,3895
"43",1480,3894
"44",1574,3968
"45",1577,3950
"46",1584,3937
"47",1588,3901
"48",1592,3947
"49",1597,3935
"50",1612,3944
"51",1629,3947
"52",1637,3939
"53",1648,3949
"54",1656,3931
"55",1681,3958
"56",1692,3943
"57",1716,3954
"58",1717,3954
"59",1842,3951
"60",1858,3960
"61",1860,3879
"62",1863,3951
"63",1873,3942
"64",1900,3942
"65",2111,3939
"66",2662,3945
"67",2675,3953
"68",2682,3944
"69",2720,3896
"70",2730,3957
"71",2743,3962
"72",2744,3961
"73",2766,3958
"74",2771,3936
"75",2779,3942
"76",2794,3896
"77",2829,3962
"78",2834,3941
"79",2836,3942
"80",2850,3940
"81",2854,3935
"82",2864,3937
"83",2870,3903
"84",2940,3942
"85",2971,3953
"86",2974,3960
"87",2992,3949
"88",2993,3946
"89",3015,3946
"90",3022,3900
"91",3036,3945
"92",3050,3941
"93",3071,3948
"94",3083,3945
"95",3102,3941
"96",3103,3933
"97",3117,3891
"98",3121,3949
"99",3133,3959
"100",3147,3941
"101",3151,3940
"102",3153,3950
"103",3159,3924
"104",3170,3698
"105",3202,3938
"106",3207,3941
"107",3240,3947
"108",3248,3945
"109",3253,3950
"110",3266,3932
"111",3268,3892
"112",3278,3930
"113",3281,3908
"114",3292,3947
"115",3298,3897
"116",3331,3902
"117",3345,3957
"118",3348,3942
"119",3352,3943
"120",3382,3944
"121",3392,3936
"122",3398,3901
"123",3417,3941
"124",3420,3948
"125",3435,3953
"126",3436,3937
