"","node","inspow"
"1",897,2909
"2",903,3027
"3",958,2939
"4",976,2922
"5",982,2920
"6",1010,2555
"7",1020,2584
"8",1022,2940
"9",1037,2711
"10",1061,2942
"11",1068,2967
"12",1083,2945
"13",1101,2889
"14",1105,2883
"15",1121,3076
"16",1130,2921
"17",1149,3080
"18",1159,3061
"19",1193,2884
"20",1205,2927
"21",1228,2537
"22",1232,3018
"23",1236,2967
"24",1258,2915
"25",1278,2960
"26",1280,3037
"27",1285,2910
"28",1293,2735
"29",1299,2939
"30",1323,2932
"31",1346,2914
"32",1348,2925
"33",1380,2903
"34",1405,2723
"35",1414,2967
"36",1424,2866
"37",1427,2601
"38",1433,2780
"39",1449,2931
"40",1460,2917
"41",1463,2591
"42",1476,2911
"43",1480,2956
"44",1574,2607
"45",1577,2910
"46",1584,2884
"47",1588,2943
"48",1592,2937
"49",1597,2939
"50",1612,2584
"51",1629,2932
"52",1637,2885
"53",1648,2974
"54",1656,2890
"55",1681,2735
"56",1692,2882
"57",1716,2936
"58",1717,2945
"59",1842,3071
"60",1858,2936
"61",1860,2903
"62",1863,2933
"63",1873,2960
"64",1900,3042
"65",2111,2943
"66",2662,2908
"67",2675,2901
"68",2682,2916
"69",2720,3021
"70",2730,3048
"71",2743,2904
"72",2744,2867
"73",2766,2967
"74",2771,2729
"75",2779,2948
"76",2794,2881
"77",2829,2959
"78",2834,3068
"79",2836,2891
"80",2850,3009
"81",2854,2898
"82",2864,2920
"83",2870,2928
"84",2940,2889
"85",2971,2919
"86",2974,2947
"87",2992,2936
"88",2993,2898
"89",3015,2910
"90",3022,2911
"91",3036,2750
"92",3050,2992
"93",3071,2939
"94",3083,2896
"95",3102,3057
"96",3103,2851
"97",3117,3002
"98",3121,2926
"99",3133,2890
"100",3147,2724
"101",3151,2860
"102",3153,2892
"103",3159,2756
"104",3170,2910
"105",3202,2909
"106",3207,2911
"107",3240,2919
"108",3248,2916
"109",3253,2910
"110",3266,2920
"111",3268,3028
"112",3278,2907
"113",3281,2928
"114",3292,2895
"115",3298,3078
"116",3331,2915
"117",3345,2924
"118",3348,2927
"119",3352,3046
"120",3382,2951
"121",3392,2927
"122",3398,2948
"123",3417,2913
"124",3420,2591
"125",3435,3053
"126",3436,2910
