"","node","inspow"
"1",897,3658
"2",903,3687
"3",958,3725
"4",976,3694
"5",982,3713
"6",1010,3722
"7",1020,3671
"8",1022,3542
"9",1037,3511
"10",1061,3737
"11",1068,3560
"12",1083,3653
"13",1101,3499
"14",1105,3694
"15",1121,3530
"16",1130,3517
"17",1149,3529
"18",1159,3711
"19",1193,3742
"20",1205,3713
"21",1228,3698
"22",1232,3499
"23",1236,3551
"24",1258,3503
"25",1278,3521
"26",1280,3705
"27",1285,3669
"28",1293,3677
"29",1299,3672
"30",1323,3706
"31",1346,3679
"32",1348,3747
"33",1380,3501
"34",1405,3511
"35",1414,3526
"36",1424,3713
"37",1427,3690
"38",1433,3533
"39",1449,3709
"40",1460,3704
"41",1463,3721
"42",1476,3691
"43",1480,3547
"44",1574,3688
"45",1577,3715
"46",1584,3695
"47",1588,3485
"48",1592,3696
"49",1597,3680
"50",1612,3705
"51",1629,3680
"52",1637,3672
"53",1648,3655
"54",1656,3693
"55",1681,3678
"56",1692,3480
"57",1716,3679
"58",1717,3665
"59",1842,3688
"60",1858,3754
"61",1860,3673
"62",1863,3659
"63",1873,3483
"64",1900,3645
"65",2111,3674
"66",2662,3690
"67",2675,3709
"68",2682,3548
"69",2720,3687
"70",2730,3665
"71",2743,3688
"72",2744,3678
"73",2766,3560
"74",2771,3710
"75",2779,3549
"76",2794,3679
"77",2829,3724
"78",2834,3681
"79",2836,3683
"80",2850,3717
"81",2854,3740
"82",2864,3476
"83",2870,3508
"84",2940,3529
"85",2971,3698
"86",2974,3534
"87",2992,3484
"88",2993,3538
"89",3015,3721
"90",3022,3673
"91",3036,3673
"92",3050,3539
"93",3071,3680
"94",3083,3476
"95",3102,3696
"96",3103,3695
"97",3117,3513
"98",3121,3669
"99",3133,3679
"100",3147,3698
"101",3151,3699
"102",3153,3500
"103",3159,3685
"104",3170,3682
"105",3202,3559
"106",3207,3665
"107",3240,3687
"108",3248,3481
"109",3253,3716
"110",3266,3690
"111",3268,3535
"112",3278,3527
"113",3281,3680
"114",3292,3673
"115",3298,3691
"116",3331,3712
"117",3345,3495
"118",3348,3695
"119",3352,3704
"120",3382,3675
"121",3392,3521
"122",3398,3509
"123",3417,3694
"124",3420,3684
"125",3435,3518
"126",3436,3697
