"","node","inspow"
"1",897,4024
"2",903,4010
"3",958,4020
"4",976,4019
"5",982,4023
"6",1010,4017
"7",1020,4015
"8",1022,4014
"9",1037,4021
"10",1061,4022
"11",1068,4012
"12",1083,4023
"13",1101,4018
"14",1105,4022
"15",1121,4022
"16",1130,4009
"17",1149,4015
"18",1159,4018
"19",1193,4022
"20",1205,4023
"21",1228,4020
"22",1232,4022
"23",1236,4020
"24",1258,4017
"25",1278,4019
"26",1280,4022
"27",1285,4022
"28",1293,4014
"29",1299,4023
"30",1323,4015
"31",1346,4021
"32",1348,4012
"33",1380,4019
"34",1405,4021
"35",1414,4018
"36",1424,4021
"37",1427,4019
"38",1433,4018
"39",1449,4015
"40",1460,4020
"41",1463,4027
"42",1476,4028
"43",1480,4023
"44",1574,4015
"45",1577,4015
"46",1584,4019
"47",1588,4018
"48",1592,4014
"49",1597,4018
"50",1612,4021
"51",1629,4017
"52",1637,4018
"53",1648,4014
"54",1656,4016
"55",1681,4023
"56",1692,4023
"57",1716,4021
"58",1717,4017
"59",1842,4019
"60",1858,4015
"61",1860,4020
"62",1863,4024
"63",1873,4019
"64",1900,4017
"65",2111,4020
"66",2662,4023
"67",2675,4017
"68",2682,4014
"69",2720,4030
"70",2730,4022
"71",2743,4018
"72",2744,4014
"73",2766,4019
"74",2771,4016
"75",2779,4006
"76",2794,4021
"77",2829,4020
"78",2834,4019
"79",2836,4023
"80",2850,4010
"81",2854,4018
"82",2864,4015
"83",2870,4015
"84",2940,4013
"85",2971,4018
"86",2974,4019
"87",2992,4014
"88",2993,4018
"89",3015,4022
"90",3022,4022
"91",3036,4019
"92",3050,4017
"93",3071,4018
"94",3083,4019
"95",3102,4016
"96",3103,4019
"97",3117,4016
"98",3121,4017
"99",3133,4013
"100",3147,4022
"101",3151,4028
"102",3153,4020
"103",3159,4017
"104",3170,4020
"105",3202,4013
"106",3207,4023
"107",3240,4020
"108",3248,4021
"109",3253,4018
"110",3266,4014
"111",3268,4022
"112",3278,4021
"113",3281,4017
"114",3292,4018
"115",3298,4021
"116",3331,4016
"117",3345,4016
"118",3348,4022
"119",3352,4020
"120",3382,4017
"121",3392,4027
"122",3398,4016
"123",3417,4020
"124",3420,4021
"125",3435,4014
"126",3436,4026
