"","node","inspow"
"1",897,3860
"2",903,3884
"3",958,3848
"4",976,3879
"5",982,3833
"6",1010,3868
"7",1020,3890
"8",1022,3833
"9",1037,3889
"10",1061,3886
"11",1068,3893
"12",1083,3903
"13",1101,3920
"14",1105,3904
"15",1121,3661
"16",1130,3893
"17",1149,3888
"18",1159,3887
"19",1193,3885
"20",1205,3890
"21",1228,3881
"22",1232,3895
"23",1236,3855
"24",1258,3881
"25",1278,3890
"26",1280,3898
"27",1285,3825
"28",1293,3855
"29",1299,3889
"30",1323,3887
"31",1346,3913
"32",1348,3842
"33",1380,3845
"34",1405,3879
"35",1414,3716
"36",1424,3874
"37",1427,3840
"38",1433,3883
"39",1449,3899
"40",1460,3708
"41",1463,3900
"42",1476,3887
"43",1480,3877
"44",1574,3886
"45",1577,3902
"46",1584,3882
"47",1588,3885
"48",1592,3706
"49",1597,3832
"50",1612,3865
"51",1629,3899
"52",1637,3892
"53",1648,3843
"54",1656,3821
"55",1681,3841
"56",1692,3876
"57",1716,3713
"58",1717,3883
"59",1842,3898
"60",1858,3891
"61",1860,3891
"62",1863,3908
"63",1873,3891
"64",1900,3853
"65",2111,3890
"66",2662,3845
"67",2675,3681
"68",2682,3854
"69",2720,3894
"70",2730,3873
"71",2743,3840
"72",2744,3884
"73",2766,3875
"74",2771,3641
"75",2779,3885
"76",2794,3889
"77",2829,3892
"78",2834,3896
"79",2836,3825
"80",2850,3857
"81",2854,3917
"82",2864,3876
"83",2870,3892
"84",2940,3884
"85",2971,3896
"86",2974,3844
"87",2992,3688
"88",2993,3897
"89",3015,3834
"90",3022,3891
"91",3036,3904
"92",3050,3837
"93",3071,3872
"94",3083,3837
"95",3102,3885
"96",3103,3888
"97",3117,3888
"98",3121,3703
"99",3133,3844
"100",3147,3827
"101",3151,3861
"102",3153,3894
"103",3159,3854
"104",3170,3872
"105",3202,3833
"106",3207,3898
"107",3240,3854
"108",3248,3706
"109",3253,3840
"110",3266,3865
"111",3268,3835
"112",3278,3818
"113",3281,3886
"114",3292,3908
"115",3298,3913
"116",3331,3653
"117",3345,3892
"118",3348,3863
"119",3352,3899
"120",3382,3834
"121",3392,3895
"122",3398,3890
"123",3417,3895
"124",3420,3878
"125",3435,3832
"126",3436,3846
